fullid,totallength,time,time.local,datecaptured,dist
A69-9001-23904,1753,2021-09-29T16:01:38.813544Z,2021-09-29T16:01:38.813544Z,2015-09-29,58.3212740095093
A69-9001-23904,1753,2021-09-29T16:03:34.683211Z,2021-09-29T16:03:34.683211Z,2015-09-29,60.1344195677947
A69-9001-23904,1753,2021-09-29T16:04:50.931310Z,2021-09-29T16:04:50.931310Z,2015-09-29,60.3941668283837
A69-9001-23904,1753,2021-09-29T16:06:06.853551Z,2021-09-29T16:06:06.853551Z,2015-09-29,60.2126496033708
A69-9001-23904,1753,2021-09-29T16:07:24.977321Z,2021-09-29T16:07:24.977321Z,2015-09-29,61.7356288514768
A69-9001-23904,1753,2021-09-29T16:08:45.595211Z,2021-09-29T16:08:45.595211Z,2015-09-29,68.9118770672243
A69-9001-23904,1753,2021-09-29T16:11:46.502210Z,2021-09-29T16:11:46.502210Z,2015-09-29,50.0856044134698
A69-9001-23904,1753,2021-09-29T16:16:14.441263Z,2021-09-29T16:16:14.441263Z,2015-09-29,97.2841589573023
A69-9001-23904,1753,2021-09-29T23:48:56.876012Z,2021-09-29T23:48:56.876012Z,2015-09-29,56.461820680433
A69-9001-23904,1753,2021-09-29T23:50:46.213840Z,2021-09-29T23:50:46.213840Z,2015-09-29,67.7993296583324
A69-9001-21065,1626,2021-09-26T10:38:16.608174Z,2021-09-26T10:38:16.608174Z,2016-09-15,16.96316209522
A69-9001-21065,1626,2021-10-03T23:33:02.390491Z,2021-10-03T23:33:02.390491Z,2016-09-15,83.2769124603804
A69-9001-21065,1626,2021-10-03T23:34:51.516519Z,2021-10-03T23:34:51.516519Z,2016-09-15,70.240503873388
A69-9001-21065,1626,2021-10-03T23:37:14.370031Z,2021-10-03T23:37:14.370031Z,2016-09-15,70.8499682610136
A69-9001-21065,1626,2021-10-03T23:39:24.099305Z,2021-10-03T23:39:24.099305Z,2016-09-15,53.7822690668525
A69-9001-21065,1626,2021-10-03T23:41:10.441770Z,2021-10-03T23:41:10.441770Z,2016-09-15,67.8784997797658
A69-9001-21065,1626,2021-10-03T23:43:27.652363Z,2021-10-03T23:43:27.652363Z,2016-09-15,97.3645290542647
A69-9001-21069,1750,2021-09-21T23:14:16.079265Z,2021-09-21T23:14:16.079265Z,2017-08-29,77.7485521163906
A69-9001-21069,1750,2021-09-21T23:16:28.885846Z,2021-09-21T23:16:28.885846Z,2017-08-29,49.924546504774
A69-9001-21069,1750,2021-09-21T23:45:06.098551Z,2021-09-21T23:45:06.098551Z,2017-08-29,84.7400192701741
