long,lat
-75.55832294,38.70789267
-75.55597022,38.70028004
-75.55614258,38.69558063
-75.55658336,38.68906895
-75.55585053,38.68258247
-75.55797657,38.67621628
-75.56039125,38.66868046
-75.56503416,38.66270769
-75.57161889,38.65900442
-75.57662226,38.65566731
-75.57802822,38.64850528
-75.58751378,38.64970567
-75.59027149,38.64375233
-75.59699163,38.6388726
-75.60683723,38.64041409
-75.61548699,38.6353162
-75.62246084,38.62864674
-75.62730106,38.62109784
-75.63642696,38.61582039
-75.64402946,38.61000459
-75.65256407,38.60469587
-75.65809422,38.59695049
-75.66330515,38.58959991
-75.67008054,38.58420718
-75.67060178,38.57548799
-75.67777737,38.56871851
-75.68616614,38.56283066
-75.69427637,38.55713179
-75.70419144,38.56090324
-75.71016143,38.55387468
-75.71736821,38.5470936
-75.72529563,38.54068621
-75.73581018,38.53753593
-75.74659631,38.53667119
-75.75319166,38.5294812
-75.75460649,38.52076301
-75.7572613,38.5124577
-75.76503399,38.50607753
-75.77590725,38.50364258
-75.78566543,38.49925587
-75.79358202,38.49278355
-75.80418656,38.49013557
-75.81530337,38.48846909
-75.82303882,38.48192503
-75.82001117,38.47453691
-75.81485079,38.46687427
-75.82159505,38.46048675
-75.83228882,38.45791022
-75.83616743,38.44968526
-75.8317245,38.44271753
-75.82170462,38.43956894
-75.82120711,38.43119042
-75.82744086,38.42391107
-75.8387376,38.42347639
-75.84667731,38.418701
-75.84861932,38.40987276
-75.85078573,38.4012103
-75.84370712,38.3942142
-75.83896591,38.38649872
-75.84870631,38.38472253
-75.85942891,38.38358234
-75.86673218,38.37704972
-75.86128344,38.36947768
-75.85790024,38.36123861
-75.86302416,38.35360302
-75.87265663,38.34873741
-75.8821494,38.34375268
-75.89131217,38.33844254
-75.89790878,38.33175719
-75.90089408,38.32307246
-75.9070618,38.31580347
-75.91401519,38.30906036
-75.9204128,38.30184024
-75.92309995,38.2930885
-75.92120933,38.28459886
-75.92365161,38.27579514
-75.92957751,38.26813275
-75.93262914,38.25950644
-75.93012396,38.25198701
-75.92383191,38.24446426
