lat,lon,date,time
38.57679404,-75.79410492,10/1/2020,10:39:32
38.57680167,-75.79410139,10/1/2020,10:39:33
38.5768088,-75.79409813,10/1/2020,10:39:34
38.576815,-75.79409469,10/1/2020,10:39:35
38.57682087,-75.79408882,10/1/2020,10:39:36
38.57682665,-75.79408203,10/1/2020,10:39:37
38.57683143,-75.79407566,10/1/2020,10:39:38
38.5768347,-75.79406854,10/1/2020,10:39:39
38.57683746,-75.79406074,10/1/2020,10:39:40
38.57684006,-75.79405068,10/1/2020,10:39:41
38.57684308,-75.79404222,10/1/2020,10:39:42
38.57684559,-75.79403342,10/1/2020,10:39:43
38.57684786,-75.79402512,10/1/2020,10:39:44
38.57684953,-75.79401833,10/1/2020,10:39:45
38.57685045,-75.79401238,10/1/2020,10:39:46
38.57685029,-75.79400844,10/1/2020,10:39:47
38.57685003,-75.79400542,10/1/2020,10:39:48
38.5768497,-75.7940024,10/1/2020,10:39:49
38.57684936,-75.79399981,10/1/2020,10:39:50
38.57684869,-75.79399846,10/1/2020,10:39:51
38.57684819,-75.7939957,10/1/2020,10:39:52
38.57684651,-75.79399285,10/1/2020,10:39:53
38.57684475,-75.79399109,10/1/2020,10:39:54
38.57684324,-75.79398958,10/1/2020,10:39:55
38.57684232,-75.79398841,10/1/2020,10:39:56
38.57683964,-75.79398514,10/1/2020,10:39:57
38.57683729,-75.79398162,10/1/2020,10:39:58
38.5768347,-75.79397684,10/1/2020,10:39:59
38.57683243,-75.79397139,10/1/2020,10:40:00
38.57683226,-75.79396594,10/1/2020,10:40:01
38.57683294,-75.79395932,10/1/2020,10:40:02
38.57683268,-75.79395019,10/1/2020,10:40:03
38.57683193,-75.7939418,10/1/2020,10:40:04
38.57682992,-75.79393309,10/1/2020,10:40:05
38.5768269,-75.79392479,10/1/2020,10:40:06
38.57682405,-75.79391615,10/1/2020,10:40:07
38.57682103,-75.79390761,10/1/2020,10:40:08
38.57681684,-75.79389788,10/1/2020,10:40:09
38.57681206,-75.79388749,10/1/2020,10:40:10
38.5768067,-75.79387601,10/1/2020,10:40:11
38.57680058,-75.79386427,10/1/2020,10:40:12
38.57679463,-75.79385237,10/1/2020,10:40:13
38.57678717,-75.79384072,10/1/2020,10:40:14
38.57677979,-75.79382798,10/1/2020,10:40:15
38.57677208,-75.7938149,10/1/2020,10:40:16
38.57676395,-75.79380224,10/1/2020,10:40:17
38.57675574,-75.79378976,10/1/2020,10:40:18
38.5767471,-75.79377777,10/1/2020,10:40:19
38.57673847,-75.79376545,10/1/2020,10:40:20
38.57672984,-75.79375338,10/1/2020,10:40:21
38.57672162,-75.79374072,10/1/2020,10:40:22
38.57671282,-75.79372815,10/1/2020,10:40:23
38.57670385,-75.79371465,10/1/2020,10:40:24
38.57669539,-75.79370225,10/1/2020,10:40:25
38.57668776,-75.79369026,10/1/2020,10:40:26
38.57668072,-75.79367761,10/1/2020,10:40:27
38.57667435,-75.79366746,10/1/2020,10:40:28
38.57666781,-75.79365707,10/1/2020,10:40:29
38.57666069,-75.79364575,10/1/2020,10:40:30
38.57665423,-75.79363553,10/1/2020,10:40:31
38.57664786,-75.79362564,10/1/2020,10:40:32
38.576642,-75.79361457,10/1/2020,10:40:33
38.57663579,-75.79360569,10/1/2020,10:40:34
38.57663143,-75.79359454,10/1/2020,10:40:35
38.57662649,-75.79358356,10/1/2020,10:40:36
38.57662221,-75.79357216,10/1/2020,10:40:37
38.57661719,-75.79356093,10/1/2020,10:40:38
38.57661157,-75.7935502,10/1/2020,10:40:39
38.57660637,-75.79354048,10/1/2020,10:40:40
38.57660118,-75.79353008,10/1/2020,10:40:41
38.57659497,-75.7935217,10/1/2020,10:40:42
38.57658952,-75.79351332,10/1/2020,10:40:43
38.57658433,-75.7935041,10/1/2020,10:40:44
38.57658081,-75.79349454,10/1/2020,10:40:45
38.57657653,-75.79348574,10/1/2020,10:40:46
38.57657176,-75.79347694,10/1/2020,10:40:47
38.57656891,-75.79346781,10/1/2020,10:40:48
38.57656647,-75.79345993,10/1/2020,10:40:49
38.57656522,-75.79345238,10/1/2020,10:40:50
38.57656371,-75.79344342,10/1/2020,10:40:51
38.57656195,-75.7934357,10/1/2020,10:40:52
38.5765591,-75.79342959,10/1/2020,10:40:53
38.57655608,-75.79342263,10/1/2020,10:40:54
38.57655281,-75.79341634,10/1/2020,10:40:55
38.57654921,-75.79341106,10/1/2020,10:40:56
38.5765451,-75.79340545,10/1/2020,10:40:57
38.57654032,-75.79339916,10/1/2020,10:40:58
38.57653529,-75.79339094,10/1/2020,10:40:59
38.57652968,-75.79338432,10/1/2020,10:41:00
38.57652423,-75.79337695,10/1/2020,10:41:01
38.57651752,-75.79336932,10/1/2020,10:41:02
38.57651149,-75.79336136,10/1/2020,10:41:03
38.57650571,-75.79335398,10/1/2020,10:41:04
38.57649934,-75.79334493,10/1/2020,10:41:05
38.57649305,-75.79333604,10/1/2020,10:41:06
38.57648693,-75.79332666,10/1/2020,10:41:07
38.57648098,-75.79331668,10/1/2020,10:41:08
38.57647503,-75.7933057,10/1/2020,10:41:09
38.57646958,-75.79329439,10/1/2020,10:41:10
38.57646346,-75.79328357,10/1/2020,10:41:11
38.57645692,-75.79327125,10/1/2020,10:41:12
38.57645013,-75.79325868,10/1/2020,10:41:13
38.57644376,-75.79324611,10/1/2020,10:41:14
38.57643697,-75.79323395,10/1/2020,10:41:15
38.57643018,-75.79322129,10/1/2020,10:41:16
38.57642365,-75.79320897,10/1/2020,10:41:17
38.57641594,-75.79319749,10/1/2020,10:41:18
