lat,lon,date,time
38.57411125,-75.78616641,9/15/2020,11:32:22
38.57410939,-75.78616211,9/15/2020,11:32:23
38.57410754,-75.78615781,9/15/2020,11:32:24
38.57410568,-75.78615351,9/15/2020,11:32:25
38.57410383,-75.78614922,9/15/2020,11:32:26
38.57410197,-75.78614492,9/15/2020,11:32:27
38.57410012,-75.78614062,9/15/2020,11:32:28
38.57409826,-75.78613632,9/15/2020,11:32:29
38.57409667,-75.78613695,9/15/2020,11:32:30
38.57409507,-75.78613758,9/15/2020,11:32:31
38.57409168,-75.78613637,9/15/2020,11:32:32
38.57408828,-75.78613515,9/15/2020,11:32:33
38.5740832,-75.78613255,9/15/2020,11:32:34
38.57407811,-75.78612995,9/15/2020,11:32:35
38.57407303,-75.78612735,9/15/2020,11:32:36
38.57406889,-75.78612269,9/15/2020,11:32:37
38.57406476,-75.78611802,9/15/2020,11:32:38
38.57406062,-75.78611336,9/15/2020,11:32:39
38.57405903,-75.78610677,9/15/2020,11:32:40
38.57405743,-75.78610017,9/15/2020,11:32:41
38.57405584,-75.78609358,9/15/2020,11:32:42
38.57405553,-75.78609123,9/15/2020,11:32:43
38.57405523,-75.78608889,9/15/2020,11:32:44
38.57405492,-75.78608654,9/15/2020,11:32:45
38.57405676,-75.78608475,9/15/2020,11:32:46
38.57405861,-75.78608296,9/15/2020,11:32:47
38.57406045,-75.78608117,9/15/2020,11:32:48
38.57406087,-75.78607516,9/15/2020,11:32:49
38.57406129,-75.78606914,9/15/2020,11:32:50
38.57406171,-75.78606313,9/15/2020,11:32:51
38.57406213,-75.78605711,9/15/2020,11:32:52
38.57406268,-75.78604894,9/15/2020,11:32:53
38.57406322,-75.78604077,9/15/2020,11:32:54
38.57406377,-75.7860326,9/15/2020,11:32:55
38.57406431,-75.78602443,9/15/2020,11:32:56
38.57406602,-75.7860198,9/15/2020,11:32:57
38.57406773,-75.78601517,9/15/2020,11:32:58
38.57406944,-75.78601055,9/15/2020,11:32:59
38.57407115,-75.78600592,9/15/2020,11:33:00
38.57407286,-75.78600129,9/15/2020,11:33:01
38.57407242,-75.78599913,9/15/2020,11:33:02
38.57407198,-75.78599698,9/15/2020,11:33:03
38.57407154,-75.78599482,9/15/2020,11:33:04
