"from","to","distance_m"
"1 Marshyhope/VFW speed limit buoy","3.8 Marshyhope/Above Brookview Bridge",15936
"1 Marshyhope/VFW speed limit buoy","3.8 Above Brookview Bridge",15936
"1 Marshyhope/VFW speed limit buoy","Marshyhope/Brookview buoy",16427
"1 Marshyhope/VFW speed limit buoy","4 Marshyhope/Brookview buoy",17236
"1 Marshyhope/VFW speed limit buoy","4 Brookview buoy",17236
"1 Marshyhope/VFW speed limit buoy","4.2 Below Brookview",18626
"1 Marshyhope/VFW speed limit buoy","4.2 Marshyhope/Below Brookview",18626
"1 Marshyhope/VFW speed limit buoy","4.4 Above Walnut Landing Rd.",19924
"1 Marshyhope/VFW speed limit buoy","4.4 Marshyhope/Above Walnut Landing Rd.",19924
"1 Marshyhope/VFW speed limit buoy","4.4 Above Walnut Landing",19924
"1 Marshyhope/VFW speed limit buoy","4.6 Walnut Landing Rd.",21238
"1 Marshyhope/VFW speed limit buoy","4.8 Red Bank",23275
"1 Marshyhope/VFW speed limit buoy","4.9 Marshyhope confluence",25132
"1 VFW speed limit buoy","1 VFW speed limit buoy",0
"1 VFW speed limit buoy","2 Marshyhope /Fooks pier",1947
"1 VFW speed limit buoy","2 Fook's pier",1947
"1 VFW speed limit buoy","Marshyhope/Fooks pier",1947
"1 VFW speed limit buoy","2.6 Marshyhope/Below Yellow House",3672
"1 VFW speed limit buoy","2.6 Below Yellow House",3672
"1 VFW speed limit buoy","2.3 Marshyhope/Yellow House",3158
"1 VFW speed limit buoy","2.3 Yellow House",3158
"1 VFW speed limit buoy","2.8 Marshyhope/Wright",4939
"1 VFW speed limit buoy","2.8 Wright",4939
"1 VFW speed limit buoy","3.9 Pump House",6104
"1 VFW speed limit buoy","Marshyhope/Grey Cabin",7002
"1 VFW speed limit buoy","3 Marshyhope/Grey Cabin",7002
"1 VFW speed limit buoy","3 Palmer's Mill",7002
"1 VFW speed limit buoy","3.2 Marshyhope/Below 392 Bridge",9303
"1 VFW speed limit buoy","3.2 Below 392 Bridge",9303
"1 VFW speed limit buoy","3.4 Marshyhope/Puckums Branch",11792
"1 VFW speed limit buoy","3.4 Puckum's Branch",11792
"1 VFW speed limit buoy","3.6 Marshyhope/Below Puckum's Branch",14125
"1 VFW speed limit buoy","3.6 Below Puckum's Branch",14125
"1 VFW speed limit buoy","3.8 Marshyhope/Above Brookview Bridge",15936
"1 VFW speed limit buoy","3.8 Above Brookview Bridge",15936
"1 VFW speed limit buoy","Marshyhope/Brookview buoy",16427
"1 VFW speed limit buoy","4 Marshyhope/Brookview buoy",17236
"1 VFW speed limit buoy","4 Brookview buoy",17236
"1 VFW speed limit buoy","4.2 Below Brookview",18626
"1 VFW speed limit buoy","4.2 Marshyhope/Below Brookview",18626
"1 VFW speed limit buoy","4.4 Above Walnut Landing Rd.",19924
"1 VFW speed limit buoy","4.4 Marshyhope/Above Walnut Landing Rd.",19924
"1 VFW speed limit buoy","4.4 Above Walnut Landing",19924
"1 VFW speed limit buoy","4.6 Walnut Landing Rd.",21238
"1 VFW speed limit buoy","4.8 Red Bank",23275
"1 VFW speed limit buoy","4.9 Marshyhope confluence",25132
"2 Marshyhope /Fooks pier","2 Marshyhope /Fooks pier",0
"2 Marshyhope /Fooks pier","2 Fook's pier",0
"2 Marshyhope /Fooks pier","Marshyhope/Fooks pier",0
"2 Marshyhope /Fooks pier","2.6 Marshyhope/Below Yellow House",1725
"2 Marshyhope /Fooks pier","2.6 Below Yellow House",1725
"2 Marshyhope /Fooks pier","2.3 Marshyhope/Yellow House",1211
"2 Marshyhope /Fooks pier","2.3 Yellow House",1211
"2 Marshyhope /Fooks pier","2.8 Marshyhope/Wright",2991
"2 Marshyhope /Fooks pier","2.8 Wright",2991
"2 Marshyhope /Fooks pier","3.9 Pump House",4156
"2 Marshyhope /Fooks pier","Marshyhope/Grey Cabin",5055
"2 Marshyhope /Fooks pier","3 Marshyhope/Grey Cabin",5055
"2 Marshyhope /Fooks pier","3 Palmer's Mill",5055
"2 Marshyhope /Fooks pier","3.2 Marshyhope/Below 392 Bridge",7356
"2 Marshyhope /Fooks pier","3.2 Below 392 Bridge",7356
"2 Marshyhope /Fooks pier","3.4 Marshyhope/Puckums Branch",9844
"2 Marshyhope /Fooks pier","3.4 Puckum's Branch",9844
"2 Marshyhope /Fooks pier","3.6 Marshyhope/Below Puckum's Branch",12178
"2 Marshyhope /Fooks pier","3.6 Below Puckum's Branch",12178
"2 Marshyhope /Fooks pier","3.8 Marshyhope/Above Brookview Bridge",13989
"2 Marshyhope /Fooks pier","3.8 Above Brookview Bridge",13989
"2 Marshyhope /Fooks pier","Marshyhope/Brookview buoy",14480
"2 Marshyhope /Fooks pier","4 Marshyhope/Brookview buoy",15289
"2 Marshyhope /Fooks pier","4 Brookview buoy",15289
"2 Marshyhope /Fooks pier","4.2 Below Brookview",16679
"2 Marshyhope /Fooks pier","4.2 Marshyhope/Below Brookview",16679
"2 Marshyhope /Fooks pier","4.4 Above Walnut Landing Rd.",17976
"2 Marshyhope /Fooks pier","4.4 Marshyhope/Above Walnut Landing Rd.",17976
"2 Marshyhope /Fooks pier","4.4 Above Walnut Landing",17976
"2 Marshyhope /Fooks pier","4.6 Walnut Landing Rd.",19291
"2 Marshyhope /Fooks pier","4.8 Red Bank",21328
"2 Marshyhope /Fooks pier","4.9 Marshyhope confluence",23185
"2 Fook's pier","2 Fook's pier",0
"2 Fook's pier","Marshyhope/Fooks pier",0
"2 Fook's pier","2.6 Marshyhope/Below Yellow House",1725
"2 Fook's pier","2.6 Below Yellow House",1725
"2 Fook's pier","2.3 Marshyhope/Yellow House",1211
"2 Fook's pier","2.3 Yellow House",1211
"2 Fook's pier","2.8 Marshyhope/Wright",2991
"2 Fook's pier","2.8 Wright",2991
"2 Fook's pier","3.9 Pump House",4156
"2 Fook's pier","Marshyhope/Grey Cabin",5055
"2 Fook's pier","3 Marshyhope/Grey Cabin",5055
"2 Fook's pier","3 Palmer's Mill",5055
"2 Fook's pier","3.2 Marshyhope/Below 392 Bridge",7356
"2 Fook's pier","3.2 Below 392 Bridge",7356
